GOTO,-0.157232,-0.00684147,1.88466
GOTO,-0.627787,0.146245,1.95618
GOTO,0.254153,0.0151733,1.93475
GOTO,1.22256,-0.0158114,1.93547
GOTO,2.14115,0.0015122,1.94423
GOTO,2.91465,0.0218865,1.95912
GOTO,3.47769,0.0297116,1.96629
GOTO,4.19442,0.0417397,1.97491
GOTO,4.69323,0.0651718,1.98328
GOTO,5.46305,0.286524,2.21708
GOTO,5.94764,0.172474,2.23146
GOTO,6.47352,0.0554236,2.25159
GOTO,6.15053,0.515428,2.45946
GOTO,5.87607,0.974709,2.44079
GOTO,5.74328,1.43504,2.25649
GOTO,5.6359,1.89082,2.19311
GOTO,5.188,2.34329,2.24785
